id,first,second,third,fourth,fifth,Yellow
889,21,30,47,50,57,9
890,21,29,35,54,60,15
891,21,31,43,56,60,12
892,21,34,44,49,61,21
893,21,22,39,59,68,2
894,21,30,39,60,69,15
895,21,26,33,48,73,14
896,22,23,33,39,48,29
897,22,33,41,48,52,4
898,22,28,42,49,54,43
899,22,24,31,52,54,4
900,22,31,43,48,56,45
901,22,33,49,51,59,8
902,22,28,41,46,60,3
903,22,28,41,46,60,3
904,22,27,55,58,63,11
905,22,45,46,47,65,10
906,22,29,33,41,68,12
907,22,24,25,40,70,5
908,22,39,56,67,71,15
909,22,37,45,65,73,13
910,22,37,45,65,73,13
911,23,32,33,39,43,8
912,23,29,32,45,46,15
913,23,27,33,44,46,36
914,23,27,33,44,46,36
915,23,41,46,47,52,22
916,23,37,41,50,55,6
917,23,31,32,39,56,38
918,23,33,53,56,58,6
919,23,30,40,43,66,13
920,23,29,31,37,70,14
921,23,28,37,56,71,12
922,23,34,53,58,73,2
923,23,25,28,30,75,11
924,24,29,37,48,50,19
925,24,35,46,50,51,7
926,24,27,31,45,52,38
927,24,25,45,47,53,42
928,24,27,45,51,54,8
929,24,27,45,51,54,8
930,24,29,30,34,56,1
931,24,30,48,51,56,45
932,24,28,42,60,64,8
933,24,37,42,50,65,14
934,24,25,29,47,67,4
935,25,27,36,42,44,39
936,25,35,36,47,48,18
937,25,34,45,46,49,34
938,25,32,35,50,51,46
939,25,28,36,45,53,6
940,25,31,36,46,53,21
941,25,31,36,46,53,21
942,25,44,48,49,55,20
943,25,26,28,37,56,5
944,25,34,38,44,56,27
945,25,28,40,43,63,19
946,25,44,49,54,63,8
947,25,28,33,41,69,6
948,25,32,37,45,70,1
949,25,34,55,70,71,1
950,25,48,51,65,72,4
951,25,45,51,53,73,2
952,25,44,49,60,73,9
953,25,51,62,73,74,7
954,25,37,58,69,75,8
955,25,37,58,69,75,8
956,26,30,32,33,44,1
957,26,33,43,46,54,9
958,26,32,44,45,58,11
959,26,37,41,54,65,3
960,26,38,42,58,70,5
961,26,42,47,61,73,6
962,27,31,39,40,46,36
963,27,45,49,51,52,14
964,27,28,32,41,69,12
965,27,37,54,66,69,5
966,27,51,62,68,75,8
967,27,44,59,74,75,3
968,28,29,33,36,45,15
969,28,32,33,40,46,10
970,28,32,33,40,46,10
971,28,34,41,46,47,14
972,28,34,41,42,47,13
973,28,31,41,42,50,4
974,28,30,38,45,51,8
975,28,34,39,45,53,34
976,28,29,43,51,53,7
977,28,30,31,37,55,13
978,28,37,39,42,58,2
979,28,34,37,56,69,12
980,28,30,39,59,70,10
981,28,32,41,51,71,11
982,28,32,41,51,71,11
983,29,32,35,47,52,13
984,29,41,42,49,57,24
985,29,31,51,60,64,1
986,29,41,53,54,70,12
987,29,46,53,64,73,10
988,30,33,35,37,46,10
989,30,32,33,42,48,7
990,30,33,43,47,69,15
991,30,48,55,68,73,5
992,31,40,41,47,48,45
993,31,32,49,55,58,15
994,31,35,56,59,63,6
995,31,35,41,65,66,5
996,31,32,43,63,68,17
997,31,33,35,41,69,11
998,31,45,49,56,70,11
999,31,45,49,56,70,11
1000,31,38,52,65,71,15
1001,32,35,49,62,67,1
1002,32,53,60,63,68,6
1003,32,54,65,66,71,10
1004,32,39,51,62,75,14
1005,33,38,40,46,49,15
1006,33,36,63,68,69,16
1007,33,50,64,71,72,9
1008,33,50,64,71,72,9
1009,34,61,66,67,68,7
1010,34,46,57,65,69,11
1011,34,44,57,62,70,14
1012,35,36,41,60,71,3
1013,36,39,42,45,48,3
1014,36,42,51,52,53,40
1015,36,37,38,52,62,6
1016,37,39,42,53,55,22
1017,37,49,50,56,57,8
1018,37,46,48,70,74,1
1019,37,46,48,70,74,1
1020,37,39,53,68,75,6
1021,39,44,51,52,54,13
1022,39,45,52,56,59,15
1023,40,41,61,66,67,12
1024,41,42,51,57,65,7
1025,41,58,68,72,73,1
1026,43,64,67,71,73,4
1027,44,47,49,69,75,10
1028,46,48,53,61,74,12
