id,first,second,third,fourth,fifth,Yellow
591,10,27,28,37,51,19
592,10,14,40,49,51,4
593,10,14,35,43,52,16
594,10,14,21,40,53,20
595,10,20,45,51,53,41
596,10,20,45,51,53,41
597,10,31,45,50,54,25
598,10,11,12,20,55,19
599,10,11,20,42,55,9
600,10,11,29,47,56,4
601,10,12,13,35,56,9
602,10,28,39,51,59,14
603,10,28,39,51,59,14
604,10,14,24,47,60,3
605,10,17,47,51,61,5
606,10,12,26,60,62,13
607,10,12,26,60,62,13
608,10,13,42,43,62,2
609,10,13,42,43,62,2
610,10,38,51,55,64,6
611,10,12,21,29,65,10
612,10,16,31,42,66,10
613,10,22,42,61,69,3
614,10,22,42,61,69,3
615,10,40,63,64,69,7
616,10,40,63,64,69,7
617,10,13,61,62,70,5
618,10,31,35,50,72,8
619,10,14,19,30,73,14
620,10,36,47,63,74,2
621,10,44,58,74,75,11
622,10,23,68,74,75,9
623,11,12,17,21,23,20
624,11,22,24,28,31,46
625,11,20,30,34,38,12
626,11,13,19,37,40,26
627,11,28,33,41,43,41
628,11,35,41,42,44,42
629,11,19,40,43,44,33
630,11,12,21,29,45,5
631,11,12,21,29,45,5
632,11,26,44,45,46,11
633,11,24,25,31,46,17
634,11,16,19,31,48,4
635,11,12,17,31,48,1
636,11,15,35,43,49,41
637,11,21,44,48,49,23
638,11,17,34,43,50,15
639,11,17,34,43,50,15
640,11,19,24,33,51,7
641,11,16,34,40,51,34
642,11,35,38,41,52,40
643,11,30,40,48,52,42
644,11,31,34,44,52,32
645,11,31,34,44,52,32
646,11,21,27,30,53,11
647,11,20,26,46,53,12
648,11,16,19,47,53,2
649,11,20,26,46,53,12
650,11,16,19,47,53,2
651,11,19,39,45,54,15
652,11,36,37,41,55,7
653,11,27,44,45,58,3
654,11,28,31,46,59,1
655,11,20,40,41,59,15
656,11,27,31,58,60,10
657,11,14,54,57,63,11
658,11,21,23,35,64,10
659,11,29,44,63,64,3
660,11,29,36,58,67,15
661,11,14,51,64,68,25
